Equipment,func_loc_id,id
NO EQUIPMENT,1,1
1100014840 BL01 BALL VALVE TANKI V477,2,2
NO EQUIPMENT,2,3
1100014841 PS01 PRESSURE SAFETY VALVE TANKI V477,3,4
NO EQUIPMENT,3,5
1100014936 V47A SMBS TANK U470,4,6
NO EQUIPMENT,4,7
1100015019 A472 AGITATOR TANKI V47A,5,8
NO EQUIPMENT,5,9
1100014937 BL01 BALL VALVE TANKI V47A,6,10
NO EQUIPMENT,6,11
1100014938 LG01 LEVEL GAUGE TANKI V47A,7,12
NO EQUIPMENT,7,13
1100014939 LS01 LEVEL SWITCH TANKI V47A,8,14
NO EQUIPMENT,8,15
1100014940 P47A SMBS DOSING PUMP U470,9,16
NO EQUIPMENT,9,17
1100014931 V47B ANTISCALANT TANK U470,10,18
NO EQUIPMENT,10,19
1100014932 BL01 BALL VALVE TANKI V47B,11,20
NO EQUIPMENT,11,21
1100014933 LG01 LEVEL GAUGE TANKI V47B,12,22
NO EQUIPMENT,12,23
1100014934 LS01 LEVEL SWITCH TANKI V47B,13,24
NO EQUIPMENT,13,25
1100014935 P47B ANTISCALANT DOSING PUMP V47B,14,26
NO EQUIPMENT,14,27
1100014941 V47C CAUSTIC TANK U470,15,28
NO EQUIPMENT,15,29
1100014942 BL01 BALL VALVE TANKI V47C,16,30
NO EQUIPMENT,16,31
1100014943 BL02 BALL VALVE TANKI V47C,17,32
NO EQUIPMENT,17,33
1100014947 CK01 CHECK VALVE TANKI V47C,18,34
NO EQUIPMENT,18,35
1100014944 LG01 LEVEL GAUGE TANKI V47C,19,36
NO EQUIPMENT,19,37
1100014945 LS01 LEVEL SWITCH TANKI V47C,20,38
NO EQUIPMENT,20,39
1100014946 P47C CAUSTIC DOSING PUMP U470,21,40
NO EQUIPMENT,21,41
1000014749 PANEL POWER SUPPLY IPAL,22,42
1100216133 POMPA CELUP IPAL AREA P490,22,43
NO EQUIPMENT,22,44
1100152579 A491 AGITATOR PITCH BLADE U490,23,45
NO EQUIPMENT,23,46
1100152580 A492 AGITATOR PADDLE WHEEL U490,24,47
NO EQUIPMENT,24,48
1000015518 C491 SCREW COMPRESSOR U490,25,49
NO EQUIPMENT,25,50
1100133393 FILTER PRESS F491 IPAL,26,51
NO EQUIPMENT,26,52
1100108762 P491 EQUALIZATION TRANSFER PUMP U490,27,53
NO EQUIPMENT,27,54
1100108763 P492 EQUALIZATION TRANSFER PUMP U490,28,55
NO EQUIPMENT,28,56
1100108764 P493 BUFFER TANK TRANSFER PUMP U490,29,57
NO EQUIPMENT,29,58
1100108765 P494 BUFFER TANK TRANSFER PUMP U490,30,59
NO EQUIPMENT,30,60
1100108766 P495 SLUDGE TRANSFER PUMP U490,31,61
NO EQUIPMENT,31,62
1100108767 P496 CLARIFIER TRANSFER PUMP U490,32,63
NO EQUIPMENT,32,64
1100200397 S491 EQUALIZATION TANK U490,33,65
NO EQUIPMENT,33,66
1100200390 S492 BUFFER TANK U490,34,67
NO EQUIPMENT,34,68
1100200391 S493 NEUTRALIZATION TANK U490,35,69
NO EQUIPMENT,35,70
1100200392 S494 FLOCULATION TANK U490,36,71
NO EQUIPMENT,36,72
1100200393 S495 COAUSTIC SODA U490,37,73
NO EQUIPMENT,37,74
1100200394 S496 CLARIFIER TANK U490,38,75
NO EQUIPMENT,38,76
1100200395 S497 SAND FILTER TANK U490,39,77
NO EQUIPMENT,39,78
1100161090 S498 HOLDING TANK U490,40,79
1000016158 FLOW METER S498,40,80
1100200396 S498 HOLDING TANK U490,40,81
NO EQUIPMENT,40,82
1100136119 P511 PDAM TRANSFER PUMP U510,41,83
NO EQUIPMENT,41,84
1100136120 P512 PDAM TRANSFER PUMP U510,42,85
NO EQUIPMENT,42,86
1100136121 V511 RESERVOIR TANK U5110,43,87
NO EQUIPMENT,43,88
1000005524 Pressure Indicator 01,44,89
1100017404 Pompa Air Sirkulasi,44,90
1000012775 PANEL LVMDP PLANT OLD,44,91
1000010491 PANEL FURNACE LAMA,44,92
1100038243 MOTOR FEDDER BUCKET FURNACE OLD,44,93
1100038242 MOTOR CHAIN GRATE FURNACE OLD,44,94
1000005515 Indikator Temperature 03,44,95
1000005514 Indikator Temperature 02,44,96
1000005513 Indikator Temperature 01,44,97
1100015623 Hot Air Blower B,44,98
1100015622 Hot Air Blower A,44,99
1100036979 GENSET PLANT OLD X311,44,100
1100015624 Furnace,44,101
1100012521 COMPRESSOR 3,44,102
1100012520 COMPRESSOR 2,44,103
1100012519 COMPRESSOR 1,44,104
NO EQUIPMENT,44,105
1100137020 Z461 CONVEYOR CANGKANG FURNACE UTILITY,45,106
1100017303 X461 FURNACE NEW,45,107
1100012499 V-4621 TANGKI,45,108
1100012498 U-4631 AIR DRYER HAD-15HTF,45,109
1100012497 U-4612B KOMPRESOR BFD-45,45,110
1100012496 U-4612A KOMPRESOR BFD-45,45,111
1100012495 U-4611 KOMPRESOR BPM-45,45,112
1100125141 TIMBANGAN FURNACE BOILER 6T 1000Kg/500g,45,113
1100012502 T-131 TANGKI SOFTENER,45,114
1100012501 T-121 TANGKI ACF,45,115
1100012500 T-111 TANGKI MMF,45,116
1100155032 S462 BAK SIRKULASI COOLING WATER,45,117
