FunctionalLoc,resources_id,id
1800-1811-D2L1-U470-V477 V477 TREATED WATER PUMP AIR TANK U470,1,1
1800-1811-D2L1-U470-V477-BL01 BL01 BALL VALVE TANKI V477,1,2
1800-1811-D2L1-U470-V477-PS01 PS01 PRESSURE SAFETY VALVE TANKI V477,1,3
1800-1811-D2L1-U470-V47A V47A SMBS TANK U470,1,4
1800-1811-D2L1-U470-V47A-A472 A472 AGITATOR TANKI V47A,1,5
1800-1811-D2L1-U470-V47A-BL01 BL01 BALL VALVE TANKI V47A,1,6
1800-1811-D2L1-U470-V47A-LG01 LG01 LEVEL GAUGE TANKI V47A,1,7
1800-1811-D2L1-U470-V47A-LS01 LS01 LEVEL SWITCH TANKI V47A,1,8
1800-1811-D2L1-U470-V47A-P47A P47A SMBS DOSING PUMP U470,1,9
1800-1811-D2L1-U470-V47B V47B ANTISCALANT TANK U470,1,10
1800-1811-D2L1-U470-V47B-BL01 BL01 BALL VALVE TANKI V47B,1,11
1800-1811-D2L1-U470-V47B-LG01 LG01 LEVEL GAUGE TANKI V47B,1,12
1800-1811-D2L1-U470-V47B-LS01 LS01 LEVEL SWITCH TANKI V47B,1,13
1800-1811-D2L1-U470-V47B-P47B P47B ANTISCALANT DOSING PUMP V47B,1,14
1800-1811-D2L1-U470-V47C V47C CAUSTIC TANK U470,1,15
1800-1811-D2L1-U470-V47C-BL01 BL01 BALL VALVE TANKI V47C,1,16
1800-1811-D2L1-U470-V47C-BL02 BL02 BALL VALVE TANKI V47C,1,17
1800-1811-D2L1-U470-V47C-CK01 CK01 CHECK VALVE TANKI V47C,1,18
1800-1811-D2L1-U470-V47C-LG01 LG01 LEVEL GAUGE TANKI V47C,1,19
1800-1811-D2L1-U470-V47C-LS01 LS01 LEVEL SWITCH TANKI V47C,1,20
1800-1811-D2L1-U470-V47C-P47C P47C CAUSTIC DOSING PUMP U470,1,21
1800-1811-D2L1-U490 UTILITY AREA U490 WATER TREATMENT IPAL,1,22
1800-1811-D2L1-U490-A491 A491 AGITATOR PITCH BLADE U490,1,23
1800-1811-D2L1-U490-A492 A492 AGITATOR PADDLE WHEEL U490,1,24
1800-1811-D2L1-U490-C491 C491 SCREW COMPRESSOR U490,1,25
1800-1811-D2L1-U490-F491 F491 FILTER PRESS IPAL U490,1,26
1800-1811-D2L1-U490-P491 P491 EQUALIZATION TRANSFER PUMP U490,1,27
1800-1811-D2L1-U490-P492 P492 EQUALIZATION TRANSFER PUMP U490,1,28
1800-1811-D2L1-U490-P493 P493 BUFFER TANK TRANSFER PUMP U490,1,29
1800-1811-D2L1-U490-P494 P494 BUFFER TANK TRANSFER PUMP U490,1,30
1800-1811-D2L1-U490-P495 P495 SLUDGE TRANSFER PUMP U490,1,31
1800-1811-D2L1-U490-P496 P496 CLARIFIER TRANSFER PUMP U490,1,32
