Resource,plant_id,id
UTILITY 2,1,1
R&D,1,2
SPECIALTY,1,3
LOGISTIC GUDANG BAHAN JADI/PACKAGING,1,4
SPECIALIZED PLANT (PRODUCTION PROCESS),1,5
PAC-V,1,6
HINCO,1,7
POWDER C,1,8
EXPEDITION/DELIVERY,1,9
QHSE (HSE & LAB/QC),1,10
LOGISTIC GUDANG SPARE PART,1,11
LOGISTIC GUDANG BAHAN BAKU,1,12
"GA (OFFICE, SECURITY)",1,13
CUSTOMER SITE,1,14
POWDER A & B,1,15
PRODUCTION LOW GRADE,1,16
MAINTENANCE,1,17
LOGISTIC RAW MATERIAL LIQUID,1,18
LOGISTIC RAW MATERIAL LIQUID 2,1,19
PAC-S,1,20
PAC-S 2,1,21
UTILITY,1,22
